2019-06-17 13:36:25,775 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6cf43b92-73be-43da-acc8-84e52f98d1e7, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,776 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31de6f84-680a-4e79-8cd0-64997dd3af1b, Nodes: fa296502-ccf7-44c2-b14d-1e7f3e0838c6{ip: 51.236.158.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,776 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b09b041d-e2ca-4b8d-b548-594318456d0c, Nodes: ae061fd2-95c6-4ee1-a3fc-4d782f084783{ip: 58.249.13.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,777 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b362091-7e42-4d74-a528-f8b647d5cfd6, Nodes: 1f4f0c66-66aa-4e69-8be5-d0af607b5384{ip: 229.183.0.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,778 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 84767181-4b62-40d0-b819-29a0611cdfea, Nodes: fa296502-ccf7-44c2-b14d-1e7f3e0838c6{ip: 51.236.158.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,778 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c10747f-26d6-4c05-930a-f5a71e4d78e7, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,779 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d9603cdc-d100-4907-bfb5-14b54c78e3c2, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,780 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfb1e0c4-f038-4cc7-88d4-b633f5358c83, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,780 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e549bc2-5e50-4db4-9de5-8970863b6375, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,781 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ddf65d9-c09b-424d-92b5-9e4ad9dfb0f0, Nodes: c5cade4b-9c63-4eed-8665-006cabcf3294{ip: 130.88.67.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 357ff1f8-1564-4a78-9075-fb7825f580a7, Nodes: ae061fd2-95c6-4ee1-a3fc-4d782f084783{ip: 58.249.13.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 644f30dd-c02d-4b03-af4e-6921305e2ebd, Nodes: 6f8e668d-cf3a-44f8-b3a7-7a30bb8354d8{ip: 58.209.162.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,783 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43f579e5-59cc-4305-a350-0aa9cec13ec9, Nodes: ae061fd2-95c6-4ee1-a3fc-4d782f084783{ip: 58.249.13.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,783 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eeaf88b5-db0c-49a9-81d9-5ee9b59cc0d1, Nodes: 1f4f0c66-66aa-4e69-8be5-d0af607b5384{ip: 229.183.0.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c2f6b31-289f-4dea-8dbd-39afb0380b6d, Nodes: d0f33d02-f0d6-4a50-9e7d-533c636fb599{ip: 52.228.180.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb27d2db-c4d4-4eaa-8e4c-dc6d83b5b98a, Nodes: 278a3f40-86d8-4831-9120-db31a74c0919{ip: 84.205.3.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,785 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 973b53f4-d381-4632-a9a5-bbdd916bb7f0, Nodes: ae061fd2-95c6-4ee1-a3fc-4d782f084783{ip: 58.249.13.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff28aefc-7564-472d-87f7-4f31e4214eb7, Nodes: ae061fd2-95c6-4ee1-a3fc-4d782f084783{ip: 58.249.13.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,787 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ac7a4bd-cac1-4373-b5da-6692463b85b9, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
