2019-06-17 01:09:25,668 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:25,824 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 01:09:25,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:26,149 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc2c2213-5f9b-4c3a-a8c8-6c281683e7a6, Nodes: 9e72ca9c-1b6a-4811-8920-371725c58128{ip: 83.176.153.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,150 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f38dc081-d970-4fdf-85b4-cb5fbfee2305, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,150 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 86b2f72f-5110-4509-8aa2-905c8a258901, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,151 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0e73823-084f-4c99-8572-95a2c793c9a8, Nodes: bfb30b0b-56cc-462f-a25f-c8247c149857{ip: 96.238.254.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,151 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 607b388c-635a-49dd-ac8f-db45c73809ee, Nodes: 9e72ca9c-1b6a-4811-8920-371725c58128{ip: 83.176.153.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,152 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc460d2a-494f-418a-acff-afe6ec393ad9, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,152 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e401be61-c580-48dd-86d4-8b2b82c45678, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,153 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62c656d8-4dca-4d20-8f07-47da6ccd4c23, Nodes: d173957b-7d0b-459d-9874-a872893b47be{ip: 138.175.51.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,153 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe22cda2-84f3-4e7d-81d7-857ad221bd9e, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,153 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a8848f6-2a5b-42d1-9612-f29a9bade7d1, Nodes: 001069a0-8b67-4044-b8d2-4af2a53f335f{ip: 24.159.95.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,154 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 76bf89f9-8d05-4d4a-8219-42b637881080, Nodes: bfb30b0b-56cc-462f-a25f-c8247c149857{ip: 96.238.254.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,155 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8bc68cf1-17ea-4515-becc-3e6155f0bf25, Nodes: 6eb5d37e-c950-4f50-9c37-9a78e2479f2c{ip: 151.75.60.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
