2019-07-03 06:58:38,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bb37507a-ffb7-4d6f-96b0-4e42acbc8f78, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,839 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8e98eb42-601f-4408-8448-3230a439bbca, Nodes: 55f8e29b-8f6e-4e02-8bfd-c2ead3ed7af4{ip: 129.13.253.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,839 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3bd6b33d-d211-4b29-a8db-5ee183920e1f, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,840 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93e0214a-0c7f-42c1-8633-75da3b9fda67, Nodes: 9e8f98f4-f877-421f-8aa0-84be1fe1347c{ip: 145.59.40.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,840 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82ba96b7-55c0-4d1c-ba6a-e5a1f2236f65, Nodes: 7115a25d-d1df-40a2-ae44-27d5e05e0f95{ip: 70.202.72.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,841 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed23494c-dd34-4f7e-8450-617cdf559f9d, Nodes: 677b61fc-b1e0-42a1-a549-b4cb0c793128{ip: 145.127.13.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,842 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce1c3b8e-c793-4fd1-a422-a532b9cefdcc, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,842 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 86aa90ea-4955-4e30-959e-337e6a3848cd, Nodes: 1871455b-83b3-4157-ade7-05eacab3ad27{ip: 109.98.188.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b935a5ff-7c30-4357-8451-d5a66d478d80, Nodes: 1871455b-83b3-4157-ade7-05eacab3ad27{ip: 109.98.188.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,843 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56b546b6-0e67-4b89-9000-18e00d9ecdf7, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,844 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4875bab5-c41c-4b57-a7d1-e6638238376c, Nodes: d3cb4535-7287-47ed-b72c-3506069c5769{ip: 171.40.157.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,845 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56075eb1-3453-437a-a3aa-8304014ff6d6, Nodes: ac0a6b76-267d-469e-b5ed-e21f0da6244a{ip: 97.225.11.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-07-03 06:58:38,846 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5be0adc8-ed87-4552-8159-ca925ec23955, Nodes: 535988a2-888d-40f4-a522-bdf93db89dbc{ip: 243.199.137.89, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
