2019-06-17 17:11:44,965 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 17:11:45,608 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e37135a4-6998-489b-b54f-6fbb3f095740, Nodes: 1b4b3e61-cdb6-4ca5-a91a-e93e638be8ea{ip: 234.113.255.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,609 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e863d10-02b0-4ce9-b0bc-10a2c008628e, Nodes: 1b4b3e61-cdb6-4ca5-a91a-e93e638be8ea{ip: 234.113.255.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,610 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b412574c-dd95-4c11-b9e3-9745948079d6, Nodes: c86122e7-b199-4476-80dd-37bdd326505f{ip: 107.253.249.42, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,610 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e0e9909-a3c3-4343-9950-62d987823b5f, Nodes: ea58aa43-5c26-4eaa-8248-e1af1fd8f188{ip: 183.42.239.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,611 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7143f98-c618-4def-8731-03ce9529c4ca, Nodes: c86122e7-b199-4476-80dd-37bdd326505f{ip: 107.253.249.42, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,612 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ed13aab-3c59-48f5-b7d4-02f115c70dc3, Nodes: c1599e31-bb5c-40d3-b51e-06562c19ec59{ip: 94.9.50.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,612 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 870e1932-355a-4838-b6ce-0952a696bed4, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d4c4a6e4-d4c1-4c20-98c9-d581a3ab317a, Nodes: 1b93d5e5-89af-483f-8688-2f1c872d3be5{ip: 178.226.79.66, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,615 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cca17195-8b04-4b54-ba87-d964fda6300f, Nodes: c86122e7-b199-4476-80dd-37bdd326505f{ip: 107.253.249.42, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ced477c-1f55-40ff-ac20-3aa1d717342e, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
