2019-06-17 04:11:08,929 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 04:11:09,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6e9722d-79f0-40cb-9614-2522c82b4627, Nodes: 0fbe5eb9-446e-467d-ab07-b96681873e81{ip: 26.240.208.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ffc2c261-ad57-40c5-b87c-91de6c0629be, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,492 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53cc9b6c-2bdf-4529-9a6a-1762ab72b97d, Nodes: 0fbe5eb9-446e-467d-ab07-b96681873e81{ip: 26.240.208.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2498a1f3-530d-4ee1-966c-392e9b386063, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fd379929-aec7-429a-aaf1-26e2f17e211f, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b413fd6a-ba04-45d1-93ac-612515b6b91d, Nodes: de4464c7-f8c0-4a62-8d5b-0c8f5a0e555e{ip: 243.33.125.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,494 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0352331-3e95-4ce7-86ad-db3cc078dfc8, Nodes: de4464c7-f8c0-4a62-8d5b-0c8f5a0e555e{ip: 243.33.125.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,495 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9e23ee2-1ff7-4972-b354-38e166fd55ed, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b5c1428a-e57b-4e5c-b49f-e49432b58f10, Nodes: de4464c7-f8c0-4a62-8d5b-0c8f5a0e555e{ip: 243.33.125.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 744ed398-291b-4a72-b7c5-885912a0f175, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b37bf73e-462a-4f69-9757-93dbe1b00a73, Nodes: de4464c7-f8c0-4a62-8d5b-0c8f5a0e555e{ip: 243.33.125.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,499 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0af0f7af-7402-421e-8f2a-d72903ed042c, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5e92269-f81f-4da5-b503-86154f1a1e1e, Nodes: 1a022e16-1bf9-4338-8123-bfe17e0a998a{ip: 215.220.61.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
