2019-06-17 20:02:53,952 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 20:02:54,662 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0ac7552-e2cf-4030-ba46-bbc41924a1db, Nodes: 16cbb5ea-78bd-4b3b-9bee-018720fc7830{ip: 225.175.66.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,663 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f426473-fe5d-4730-ac94-5bca24816a1c, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,664 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c387a5d3-e41f-4699-b770-4b9bd4a92e70, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,664 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 70293404-6129-45f7-bf89-e9f95ed67b0a, Nodes: 16cbb5ea-78bd-4b3b-9bee-018720fc7830{ip: 225.175.66.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,665 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 637046fa-8c70-4233-b008-4c22f9e40f86, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,666 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 69e9342b-6536-40df-b7f3-a30b465171b4, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,666 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8953c736-ce0e-4ef4-b33c-a1853a2d3de2, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,667 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a216d88-127f-4c69-bcc9-8b3d901027e5, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed479a00-c1db-4e3d-a965-8f513dd04aea, Nodes: abe1b39b-0dfe-40f2-9dc0-0d45644d5bdf{ip: 145.97.197.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1407154c-7dc7-4095-a5e1-4c9738e8a87a, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a72505e4-3907-4630-95d9-98ed4d8e5f9b, Nodes: 16cbb5ea-78bd-4b3b-9bee-018720fc7830{ip: 225.175.66.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eb14c5c0-38e5-4b4c-947d-ca34e5cd0517, Nodes: dcfa7ea1-b201-485a-b4db-3fa123a5d9ea{ip: 169.246.174.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,670 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8509991-f213-4251-80f7-f3fa846d43d6, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,671 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a2d48b0-5eb2-4588-bd60-0e512b64bb46, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,671 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe73adf5-834a-4d66-82ab-584ab6bd041f, Nodes: 8f1650d4-311a-45c4-91ad-a72adfcdfc27{ip: 17.66.102.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47a736ba-f348-4561-b4db-8f88daba1a47, Nodes: dcfa7ea1-b201-485a-b4db-3fa123a5d9ea{ip: 169.246.174.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7ee2e48-18b3-4ad5-a86e-43ae9c0a4cf4, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f594afc5-bc66-4579-a06e-2be9e4e4e597, Nodes: 9487089d-aa62-45c6-8351-ea00660ea931{ip: 192.70.210.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
