2019-06-17 02:21:44,726 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 02:21:44,897 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 02:21:44,898 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 02:21:45,222 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b3641d0-ac84-4c1b-82e2-6a2882d9b9e4, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,223 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b7ef5a7f-0008-4d9d-840d-1b1bf8d20780, Nodes: 5f18aa2b-f58a-48ba-87a7-3f2264e81397{ip: 35.146.44.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,223 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb52a985-95b0-40cf-a493-d9cf63d9c0c6, Nodes: 2e33e73a-a863-4fd5-b608-2643a909d55b{ip: 125.234.17.206, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,224 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6952aa52-937b-43ea-9e2c-d77256eeff4c, Nodes: 45e99b4f-9dc5-4de4-9c6b-5a3344733edb{ip: 224.53.134.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,224 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3246d3e7-4882-43d1-9d91-15235c6220fe, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,225 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0163573e-3879-4ba9-b4ac-0d9863a1efb2, Nodes: 45e99b4f-9dc5-4de4-9c6b-5a3344733edb{ip: 224.53.134.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,225 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b72c759e-c0d3-4309-9224-3cee265b1119, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,226 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 61b3148a-8d90-4c55-bec6-935464a79aa6, Nodes: 4740887d-f3bd-4db6-8ba1-e3f7ed78d464{ip: 166.138.207.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,226 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38c72898-ad5e-4e64-a437-13ba86c84ab2, Nodes: ab5bb1f5-963e-4b75-aaff-b3969f2b294a{ip: 39.19.117.75, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,227 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e3ae8187-7c06-4b4a-b64f-d242eb2c06ab, Nodes: 5f18aa2b-f58a-48ba-87a7-3f2264e81397{ip: 35.146.44.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,227 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fc5a785f-a2c8-4edd-8712-6a73822d6247, Nodes: 2e33e73a-a863-4fd5-b608-2643a909d55b{ip: 125.234.17.206, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,228 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 563c43fe-a4e8-4e89-a9e8-195cfc3ec089, Nodes: ab5bb1f5-963e-4b75-aaff-b3969f2b294a{ip: 39.19.117.75, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,229 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 32916671-caca-4571-90ed-3d35140251aa, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,232 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43e69584-4a4d-4d0e-9ce0-91105d0f5e7e, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,233 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b60d182-b28e-4101-9dfd-f7816f91010a, Nodes: 4740887d-f3bd-4db6-8ba1-e3f7ed78d464{ip: 166.138.207.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
