2019-06-18 03:51:53,849 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 769a2464-dd98-4d71-ac64-25b28ecb94fc, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,849 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 965572c8-83b8-4996-a21e-72c3d208e104, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,850 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60d64eaf-0569-4ea7-b364-6c78b4c42c48, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,850 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f505ef6-68cc-4b69-a899-34a98b4b0921, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,851 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d6b46ae-1f39-4c90-bb31-0773c8a23a76, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,851 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a82d27d3-ca34-40cd-aaa3-0c34ef8ee9a0, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,851 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d99e8241-9283-4a0d-a302-a85225cc0aa9, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,852 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b52bbc75-7483-4bb6-8402-5acb9b3805b0, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,852 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3c474836-5275-413e-9618-6ced546b7554, Nodes: 63c9c97e-8b59-40ff-8db0-dd846a324ee8{ip: 223.35.254.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,853 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb61961d-4e0a-4a7c-a3bd-18055c191d50, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,854 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 634a22a3-9805-43c7-9276-195976f0122e, Nodes: 15fddc31-80d2-48e1-8c33-f35fc332f631{ip: 53.212.139.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,855 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de828afb-0a7f-47aa-bacd-c464ae479d3d, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,857 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33093f61-b348-438d-89a8-b85b487f9073, Nodes: 63c9c97e-8b59-40ff-8db0-dd846a324ee8{ip: 223.35.254.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,858 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c129935-4f08-47fb-bcbd-7340de58ab7a, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
