2019-06-16 22:16:39,727 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c5ce830-ae6f-4f78-94fe-dce199e36b86, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,727 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9262f2ab-687c-4d89-b77c-0b646dbc296c, Nodes: 4ef0c660-c270-4f61-9de0-8fbf6041ccbf{ip: 45.227.136.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,728 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a47d8815-66b7-4eda-817e-d85bd845e2af, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,728 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85de7ebd-c6e2-43df-8ac5-940f7fe41d07, Nodes: b1941c48-0b1a-45ba-8dcc-86e4ad264293{ip: 156.239.10.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,729 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b1ed347-e01c-4553-bd66-af58afeee815, Nodes: 0c5692f9-75b1-452c-901d-940f546a77e4{ip: 215.239.179.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,729 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5ed9015-5b43-47e1-b51f-0f8741c1e566, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,730 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbd5e898-8d05-425a-b9f5-c1e4609de449, Nodes: bcecc318-a930-41eb-b108-1912bd98ca11{ip: 34.163.165.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,730 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ffc0e8f3-4a1d-4731-b244-1ca2949ac4d7, Nodes: 6485b1fb-a24e-44d7-8bb7-d9eb6853aa5f{ip: 141.222.125.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0aec309d-f2c4-4c72-9b6f-91a256be381f, Nodes: 2671b0b3-6e8b-410f-9504-5469c5581a47{ip: 142.80.23.158, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: edbb891f-2993-4315-91b9-3f321eb7ad2d, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
