2019-06-16 22:12:10,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 954f624f-cdd8-42a3-a9ce-b0ee6519b0c1, Nodes: 77067cf4-44e5-4769-97aa-d741e7f87f96{ip: 159.113.9.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31f93922-6ea3-4971-8f50-4acf3d4fd7f2, Nodes: 999d7356-7034-4353-a57d-630ea77c1518{ip: 60.53.237.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4abcc15-3858-4cb9-ae29-697f7abaec10, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d2d5ca8-c8b2-4875-92b9-fbc9cd1e3cd4, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5a06f22-0199-409e-90a0-3a34b86f4081, Nodes: 8e8e7d97-acb9-4c18-8606-3435d320ac43{ip: 157.126.145.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22ebdb65-6b91-4795-bcd4-001532c900f6, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b1a4b85-eed4-45ca-bc7e-11cf4e373637, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b48cf8b-185f-4c00-a8ac-9f9f290bd567, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,798 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ec3ac0c-9e49-48f7-a03e-5b6ee9d43089, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4de89a7-6d62-4d86-b4d0-4a5fc94c814e, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
