2019-06-17 16:36:45,788 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 16:36:45,956 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 16:36:45,956 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 16:36:46,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb406fbe-a587-4480-8688-1ae9fefc38e7, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 467e2aae-90a4-4245-a1e5-722b1217ad25, Nodes: 40b82eaa-5a64-4340-b004-2e035514a777{ip: 115.231.159.163, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,292 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85bd558e-c190-4b5e-af55-a1da429337c6, Nodes: a274e9d6-1334-44a0-9b55-2b72daffbdd5{ip: 214.40.9.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,292 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cdd420a7-b0bc-46f8-90bb-5594b09ddf3b, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b291cb74-3cb6-499b-9931-1720a3a3f9db, Nodes: 40b82eaa-5a64-4340-b004-2e035514a777{ip: 115.231.159.163, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bccbf10e-0272-43e8-9b77-5292d8eb6cb7, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c58e0ccb-c1fc-450c-8328-2fe244243ec8, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f523afe-2666-43dc-a9da-85bec078a7e6, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c574d611-e8de-4b0c-aa66-0f78e67a1d64, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 90e77e0b-4e8b-495a-a573-e0d067128f02, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19a6a6e1-a00b-496b-ad12-7e68883b171f, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18dff76f-1c08-4309-89c1-d950a053266a, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e84240f0-1970-4a78-9b4f-a1ef93477ab7, Nodes: 78c3320e-7f61-4612-8a2b-5f74b63d5d3a{ip: 47.23.87.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c9f8c0c7-75cb-4766-9237-39339d21787f, Nodes: 9c2fae53-4588-488e-a742-c73a6a77508b{ip: 45.207.111.112, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b17f5880-2a60-4f97-8e86-97c99313aa49, Nodes: 9c2fae53-4588-488e-a742-c73a6a77508b{ip: 45.207.111.112, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef15997f-10e4-4e11-9e5b-2e6648d99538, Nodes: 78c3320e-7f61-4612-8a2b-5f74b63d5d3a{ip: 47.23.87.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42472571-81f0-455c-8232-c8f9187e3fb7, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e3a5bf3b-4e08-4780-9dc7-8ad6f442cf52, Nodes: 72560309-bb48-4307-bfec-a2f390d44abc{ip: 47.239.236.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5613b813-ae06-4dc4-be5b-fbe3be197b15, Nodes: 72560309-bb48-4307-bfec-a2f390d44abc{ip: 47.239.236.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf997733-585a-4a51-8810-451c8b036722, Nodes: a274e9d6-1334-44a0-9b55-2b72daffbdd5{ip: 214.40.9.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e1eb3961-8646-4923-813b-9a4cac25becc, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
