2019-06-17 10:55:51,660 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83d40a47-432c-40a0-a2d2-1b0cfe2108ca, Nodes: b0a6e3f3-6d11-4b2e-967c-4d4933a45e01{ip: 95.120.166.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,661 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8a59f75-3bd0-4711-9717-62fa0a640b19, Nodes: b455c611-d211-4362-8a5c-6c03005bbe61{ip: 128.61.123.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,662 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b991e2e1-a56e-4c98-a358-3fd073d80504, Nodes: 0c80bc97-e52c-4d1d-b656-5adeff268f2b{ip: 55.18.196.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,663 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3fd0ac98-9b00-47ca-999d-ae9c39ccab5c, Nodes: 19c7711f-1829-44b0-9220-ed6459455278{ip: 78.49.251.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,663 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d8db7e4-8bc0-415a-97ba-1542e0baf4e7, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,664 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 59294718-2817-4733-a96c-6878ad3c3e2b, Nodes: d81f6d61-b8ac-4a79-b8c7-367da122f21c{ip: 233.70.89.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,665 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 17826906-20c5-4b75-bf04-e61a2d1e5080, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,666 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b05a8f33-c64f-42b5-b408-46a6ecd8f634, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,666 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55b34379-840e-4e14-8867-59738c2cf20f, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,667 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9cffa5e7-e052-4a93-9377-4bd09822f820, Nodes: 19c7711f-1829-44b0-9220-ed6459455278{ip: 78.49.251.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
