2019-06-15 12:48:11,902 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b37b0c6-1d76-4c13-abab-19e94981986a, Nodes: 81301fae-cb56-4ff8-8319-65509ead28a9{ip: 208.138.207.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,903 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a3dbd53-135b-4588-b641-ce5c1317e766, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,903 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06b17583-6d16-479c-8660-4a435f08635a, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,904 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 963b99ff-6324-4354-879a-52dc75d0869a, Nodes: 1603ec57-0851-4af2-9d87-d1f3a0b108f3{ip: 130.178.207.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,904 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9f7dcf7-ef86-408b-a6f9-ef9a05f0aaac, Nodes: 440c0a30-17a3-413b-ad3e-569da7cd870f{ip: 222.236.139.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,905 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 007aa836-8fda-4f12-8b68-83a72e279f49, Nodes: 81301fae-cb56-4ff8-8319-65509ead28a9{ip: 208.138.207.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,905 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d081ff5-e028-4f17-8f51-b6b13b553ef4, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,906 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b97fcaae-0843-4ebd-b9c3-eb412625ebc3, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,906 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58f26ff4-248d-4695-a1cc-f45cae60138f, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5dde1d1-9676-410a-a267-879a2c86567c, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce50ba3c-188e-4035-8e02-c661c539dffb, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,907 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56d7a5e5-e890-4093-81d7-7632aea34f7f, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,908 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b72eedf6-5b58-4a23-ad09-c98c5c8c6ede, Nodes: 56154212-31f7-44d6-be0c-70d21a6ec62c{ip: 213.249.163.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,908 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c654f2e-8ccb-4ba8-8082-5baaf986d70e, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,909 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 40fb4547-9f0e-4e40-b346-41ea95a80571, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,909 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fc617b35-5c99-4e55-90d4-9422fc66361f, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,910 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5992df0-6191-4298-9f17-3660f61e7695, Nodes: 1603ec57-0851-4af2-9d87-d1f3a0b108f3{ip: 130.178.207.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,912 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d5f62c5-c170-47db-ab21-6fd21a677aae, Nodes: 56154212-31f7-44d6-be0c-70d21a6ec62c{ip: 213.249.163.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,913 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b364cd7-114f-4e98-9b51-242eedf407f4, Nodes: 81301fae-cb56-4ff8-8319-65509ead28a9{ip: 208.138.207.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
