2019-06-15 12:32:22,697 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:22,912 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 12:32:22,913 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:23,305 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06e6346e-9134-4819-ad0d-815c9c1a5122, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,305 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e49d9c4-78f2-4f1c-b4f9-115c4c1b9099, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,306 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 07dbe70c-1e04-48b7-95bb-ba51f6043bde, Nodes: eafed896-15f6-4100-9b5e-2e4fba203cd6{ip: 229.96.156.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,306 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d1cc594-fe82-4571-bb67-a9efccdbb51c, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c76b7f51-0d56-4a2c-b5eb-5057a540c42e, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7866f96-ba19-4ebc-9563-e9bebacdb21f, Nodes: 21436478-d8c4-400f-af39-fcb8cd7aac96{ip: 157.166.202.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,309 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4fd9751-f2b4-40e0-bc6a-9343d8ac146a, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7958fa67-a9d4-4e31-a395-fb2372444a18, Nodes: eafed896-15f6-4100-9b5e-2e4fba203cd6{ip: 229.96.156.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4987eccd-6170-4a81-a07c-dd8dc7bce5af, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f9e4ab6-d267-4358-9084-fc884f7302a4, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
