2019-06-17 15:21:15,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1324c635-dddb-47bb-901f-ed205498d42e, Nodes: 15c8f682-6260-4fd2-95d8-d839b2aa25f2{ip: 112.28.253.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0fa3e35c-44c1-45d4-a4af-b903217a5f9b, Nodes: b2b48733-b460-4161-94e7-61a28d6bf9ca{ip: 214.31.53.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b26a77d-3444-4d63-aded-3dc1531af4be, Nodes: f63433ef-727c-4743-8a62-0fe9e4855400{ip: 250.45.141.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f654fca1-e8d5-4850-a6e5-a34e53edb205, Nodes: 478e659b-8a98-4d1f-8f19-a555c5bebe7f{ip: 184.189.242.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba8ffa3f-9fa9-4898-8f76-123e5f652d08, Nodes: 478e659b-8a98-4d1f-8f19-a555c5bebe7f{ip: 184.189.242.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ca063a27-e457-43ba-985a-8ee3ec4a0d4e, Nodes: b2b48733-b460-4161-94e7-61a28d6bf9ca{ip: 214.31.53.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba7466d4-cb2d-44a7-bc68-bf4793682b6b, Nodes: f63433ef-727c-4743-8a62-0fe9e4855400{ip: 250.45.141.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3870f268-b986-4927-8a5e-0d4f235e4a63, Nodes: f63433ef-727c-4743-8a62-0fe9e4855400{ip: 250.45.141.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cfb0e666-9df4-4747-8066-2eab5a23e6db, Nodes: 5dc6014e-7f3f-406f-8cd7-ab392aaf28cc{ip: 100.111.198.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: daf8fd2f-8f25-47b4-afd7-ac1392b8d168, Nodes: 478e659b-8a98-4d1f-8f19-a555c5bebe7f{ip: 184.189.242.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 984eab9c-a8e1-4576-b518-a2c95d89b076, Nodes: 478e659b-8a98-4d1f-8f19-a555c5bebe7f{ip: 184.189.242.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a1652800-2c5e-4caa-9fb0-a5a614681c38, Nodes: 15c8f682-6260-4fd2-95d8-d839b2aa25f2{ip: 112.28.253.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88c94a1b-c6c9-47fa-bbac-755897254f7a, Nodes: 450c62e6-d962-4444-b748-c382a6f99bb3{ip: 97.123.225.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,798 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08d91210-863c-428e-b718-57cf2168300a, Nodes: 5dc6014e-7f3f-406f-8cd7-ab392aaf28cc{ip: 100.111.198.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,798 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c69dcfa6-47cb-46d1-8163-5fdaecd9bb6a, Nodes: f63433ef-727c-4743-8a62-0fe9e4855400{ip: 250.45.141.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30502d6a-0cae-4e49-9325-0a69630cd091, Nodes: f63433ef-727c-4743-8a62-0fe9e4855400{ip: 250.45.141.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,800 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 911bff2a-69dd-423e-a7ff-dc225fec5f24, Nodes: 5dc6014e-7f3f-406f-8cd7-ab392aaf28cc{ip: 100.111.198.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c468415-5f50-4e89-92fc-706c26e82265, Nodes: 450c62e6-d962-4444-b748-c382a6f99bb3{ip: 97.123.225.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,802 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad71f147-c2e6-4ac7-98d1-c0a80348a226, Nodes: 4e67b965-49fa-40c3-9484-3c657f424074{ip: 35.113.214.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,804 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc4f01d1-796d-4636-98bd-5dbe1ad32430, Nodes: b2b48733-b460-4161-94e7-61a28d6bf9ca{ip: 214.31.53.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
