2019-06-18 03:20:47,931 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b82b875-d73a-4cf3-95ae-c1609eee136c, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,931 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f16fcd08-ee03-405b-9e7e-4b71ae187ba2, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,932 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 006e98d3-8f8e-4b8f-af75-70951fe22293, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,933 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9cdbeba4-eb64-40e8-9eea-db331977603b, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,934 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9bcb223-a7a5-4356-bc60-2601f8cdd946, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,934 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff0ccf1b-38aa-4770-92ec-a00dd6d2575b, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,935 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e26bb8b2-468b-495b-999f-c345979b9e9d, Nodes: 48702793-a568-4b3f-9ee8-b0482bef496e{ip: 241.211.32.196, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,936 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44ba6c58-988b-40f7-902f-c2d5d812de4b, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,937 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 04784a21-f667-4ff3-a00d-c290b7d58117, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,938 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10833860-66b8-4cae-9864-9910d32abcd7, Nodes: fbbf305a-0107-4023-87f8-65a1ea6291ef{ip: 149.119.248.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,938 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2808062-2b13-4a65-a749-9b86573e3f88, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,939 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 279489f0-ddf8-44d2-8177-537f1b42f77a, Nodes: a819d27e-52f3-4187-8e2a-3d473d95db98{ip: 168.82.144.165, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,940 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0058dae4-cb46-43b2-acc6-0e82cafbdf8e, Nodes: 48702793-a568-4b3f-9ee8-b0482bef496e{ip: 241.211.32.196, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,940 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fcc820bd-f8da-47e3-8560-a601a02c3394, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,941 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 057a18ff-afb3-46f3-b1cc-fd8f4e8d8637, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,942 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a552326d-d3c0-4ca0-81fe-c8351efccc33, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,943 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6184230b-40f6-4241-99c5-c50082e04c4e, Nodes: 0da88f99-7e6d-46b7-aa43-98093646545d{ip: 174.52.247.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,944 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73cb4645-654b-4a41-8e80-5ee8708ee33f, Nodes: 093403ce-adb0-49f4-bf81-babfc4922078{ip: 128.243.66.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,945 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d4698de-0ffe-4143-85d9-8598cc400647, Nodes: fbbf305a-0107-4023-87f8-65a1ea6291ef{ip: 149.119.248.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,947 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57e610e0-cf29-4547-bbf9-58bf5f991258, Nodes: 955b9640-83a5-486b-8e31-d56cc82d12f5{ip: 244.93.41.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:20:47,948 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 273bc611-8058-4031-b2e3-95f4ea232ac9, Nodes: 13fd7cf9-0123-427f-837c-69b6aef56109{ip: 165.150.11.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
