2019-06-17 14:54:34,533 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:34,772 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:54:34,773 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:35,247 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f82eceb9-6c0d-4f48-be4e-a16f5efab6e4, Nodes: bcc5c36e-cd42-4502-a04c-7368fd08e359{ip: 58.60.82.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,248 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba7fc8d2-f93d-4144-b1ad-353a4f779abe, Nodes: b0cc9993-eab1-490d-b5a6-febb60c61939{ip: 229.124.145.85, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,249 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d65fcff-be10-4178-96dc-997477a91bc7, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,252 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e65cef95-9845-469a-9c71-23f6a04d68bb, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,266 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 40568a5e-9eb7-44bb-8443-c51069add2fe, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,267 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2fd30bc5-4a47-4297-8ff1-0e8119287d50, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,267 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f44720e8-3580-41cf-a4ea-bd7549772dc4, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,268 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ca6aae53-b62c-49b3-bd5e-9f467b722c80, Nodes: 5b0ab174-36b6-4c68-be67-a67aba31d85a{ip: 136.122.166.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,269 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a5ea1ee-4431-4578-b213-3c901f3fa6b8, Nodes: b0cc9993-eab1-490d-b5a6-febb60c61939{ip: 229.124.145.85, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,269 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de02b1f0-30cc-441c-9e90-59f5f06dabe9, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,270 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36b6d130-b7c6-4cb2-b0f5-803c545761b7, Nodes: bcc5c36e-cd42-4502-a04c-7368fd08e359{ip: 58.60.82.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,271 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 75abaa31-667a-4410-a2d7-130ceb0053a0, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,271 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f174cc7b-cc71-4a41-b742-6a9301d424e1, Nodes: bcc5c36e-cd42-4502-a04c-7368fd08e359{ip: 58.60.82.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,272 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3098dcdc-90bd-473b-bdff-4af554c37f7f, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,278 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 81b2d5a1-317c-4899-86d6-c52f9c7a83e6, Nodes: 5b0ab174-36b6-4c68-be67-a67aba31d85a{ip: 136.122.166.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,279 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3202fe16-dca7-442a-b5ef-e557f9acc756, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,281 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c04f4089-93b3-46e9-ba61-78f44e75e6d6, Nodes: 67303f6c-fc7c-4cc6-92f4-0bcf501284ce{ip: 12.34.147.123, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
