2019-06-18 04:30:55,800 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 04:30:56,371 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9b2ac6f-4501-4c7a-ae93-155259b8bd0f, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,371 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f47e554-069b-4606-b3bf-89c0298e5364, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,372 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e32a91a-fbd4-4a9b-b6b9-626bf5051944, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,372 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3af811be-e766-4d1a-ba4c-5964d0370d35, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,373 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15e5961d-01e5-4824-9a90-c55dab0e6e40, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,374 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98603215-faf8-4ba7-8fb7-2b2fc736a6eb, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,374 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46cdcd5a-8fb0-433e-a249-ecdc1a053fda, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,375 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49a25dc1-922a-454d-9639-24bb7ed3a6cb, Nodes: a7862b11-0f51-4f55-9fdc-3aa02a7d9c90{ip: 29.98.81.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,375 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8dc3ee62-90d4-407f-823c-e4f1d4dd3edd, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,376 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7dae1ac8-caeb-4eb1-aa0b-2d207969ea51, Nodes: 57786ffb-68b7-4385-bdd3-826c9f123c26{ip: 225.151.146.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
