2019-06-17 08:55:44,973 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 08:55:45,495 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05e47140-6500-4ff7-8124-2fd2f739f892, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f856c458-8155-437b-a7bd-d423a60fab97, Nodes: bd74c734-42a1-4fed-bd21-764d5b9f0336{ip: 58.141.249.174, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,496 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 796489b8-1407-4018-b3e9-2d6fdf6f9235, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74a8af39-d754-4fb4-a81a-01c184a40a89, Nodes: f7c47e3f-a9ef-44bf-b029-aebdc9aa95b2{ip: 207.57.12.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7fad4b09-379d-48f3-90ef-6eca041201d3, Nodes: 6ee85f51-7bdc-4c44-9e5a-db73f0760ade{ip: 181.219.176.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,497 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5afe8af9-011d-4be4-adf1-05bbb9e3210e, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,498 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2e7d754-bea4-48d0-af15-f857dde99203, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,498 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9299160f-aa66-4a61-b1f4-d8fe86aed10b, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,499 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9cf6e5c1-233e-4e28-afc0-12b35c5ee1b6, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,499 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8421dc6a-d969-414e-b680-30664235eca3, Nodes: 6ee85f51-7bdc-4c44-9e5a-db73f0760ade{ip: 181.219.176.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
