2019-06-18 09:07:12,330 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:12,611 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 09:07:12,612 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:13,094 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be25c42f-3e4d-4c45-a67b-c5e10342c03f, Nodes: 778d0410-6d77-4902-98c3-a3db077c25e5{ip: 128.44.162.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,095 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e581feb-95ed-49a1-8b9a-42a4f4035890, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,096 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8184da23-5855-4c9d-a37d-920fb3b4268b, Nodes: 778d0410-6d77-4902-98c3-a3db077c25e5{ip: 128.44.162.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,097 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc8da48e-74e3-4da5-88f8-2f5b7269098f, Nodes: fed3cdf6-3150-48ba-bf41-8c4414585db5{ip: 142.61.61.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,098 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 947bb395-6dfe-4137-9cd9-256befad36ca, Nodes: fed3cdf6-3150-48ba-bf41-8c4414585db5{ip: 142.61.61.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,099 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0adc1cc-319a-40b8-b7de-c6b5b6a2b465, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,100 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19d244c1-4b1a-4364-b291-66ab4e11eeb9, Nodes: fed3cdf6-3150-48ba-bf41-8c4414585db5{ip: 142.61.61.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,100 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 64df1734-6cf3-4534-8c6e-a3c549a2f66a, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,101 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7131f79b-fbb8-4ba2-8a40-89802befb13f, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,102 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c5b03ac-4815-431c-a9b9-bc32a7b901d6, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
