2019-06-17 14:53:57,688 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:57,847 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:53:57,848 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:58,192 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 96fde7e8-6600-480a-94ec-560decfa9843, Nodes: c9e3814a-cf23-41f4-8f8b-03ae33febf77{ip: 161.117.96.202, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,193 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef357d88-f9be-424b-bdaf-3cb05ea5076d, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,193 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb721dae-8949-4538-ba7c-3e56aaa06680, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,194 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 446fcd17-f120-440d-8378-08c7f0f5f342, Nodes: c9e3814a-cf23-41f4-8f8b-03ae33febf77{ip: 161.117.96.202, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,194 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9026093a-ba5f-4a22-82f9-b9e2d94331f5, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,195 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb7290e6-b5d5-440e-96b1-b727e1454e1c, Nodes: daf0d721-efe9-4e00-b64a-0673411e1928{ip: 30.153.98.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,195 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 667ea9aa-2a4b-43d4-93b7-fa4bfd72723d, Nodes: daf0d721-efe9-4e00-b64a-0673411e1928{ip: 30.153.98.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,196 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bde289c1-fd7e-45e8-9c6e-e94532e31b60, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,196 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e90a107e-921e-4540-b2ca-e5e4717c6230, Nodes: da67bbf7-021a-4ca1-b8c2-5dbe3a1afe1c{ip: 105.3.56.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,197 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c9aa85b-e784-43ff-b654-ce6abbd874c4, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,197 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5be5f369-4aa2-4230-b0f0-dad52116a52c, Nodes: e38ae64b-6a65-4d74-8731-7bc631a06e84{ip: 156.61.88.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,198 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56ab7ca7-e4d4-4b3b-ba16-a5b0d639e415, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,198 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42fc3097-ff65-4b4d-a612-7be2b651a052, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,199 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 17d27423-cd06-4212-af36-515438c34258, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,199 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ece980d4-259b-4e78-872d-84804434f565, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,200 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 380abee2-b3d2-4d9c-aa6c-28f65f290537, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,201 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7cfecfc-fb44-4153-a0d9-9ac3690f1d63, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,202 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2ee036c-e11e-40bc-ae6d-ea3bd4d5fe87, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,204 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9a95550f-8472-4b63-8936-89a66a6db7d1, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
