2019-06-16 20:15:53,643 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8bee0921-d37d-4f4c-977b-4bf6a6e7ea59, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,644 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ca4c92a-294f-4468-9cab-15606027f2ba, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,644 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aeff3741-9237-42e1-bfdd-6c234de4bba2, Nodes: 2da7ef30-f2fe-40eb-92a6-fa29edb5a9da{ip: 235.115.142.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,645 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8f0101f-62dd-4034-bd6a-bf60ce612372, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 41ba49b2-89ce-4964-ae4b-6fb2a6322247, Nodes: ddcbb88c-b8f4-4100-95b3-79ac15bc4600{ip: 226.210.41.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9cce7604-f264-4f30-87b7-a369abaa055e, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 318c0e4d-5b10-41b0-b93a-aaa5a3e8f472, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36090e8f-c14d-4035-a4b7-b41b96d7a598, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,648 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0af89a12-9923-4c11-8589-3aada4816537, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,648 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ca97a27e-f46a-4b9b-95ce-a0b3e9ae0cab, Nodes: 8ce9ba21-d891-45b0-b040-f13a43703654{ip: 236.177.242.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,649 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0cf96f80-c91d-467b-ab9c-6e7d992c998f, Nodes: 5b6a035d-e6bd-4449-b74b-bed5543a0d37{ip: 5.130.138.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,650 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c30aed8f-ac61-48c0-9254-8baacc9a5aba, Nodes: 2c3ab137-2b7d-4c14-88cc-8ccce94e09dc{ip: 25.176.208.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,651 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e76a1963-21ad-4e9c-aa32-f8d9e7d35613, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,652 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2617a30b-db6b-4e69-9d49-f71462eff7a2, Nodes: ddcbb88c-b8f4-4100-95b3-79ac15bc4600{ip: 226.210.41.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
