2019-06-17 00:40:46,989 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 07cb5ebe-440a-4525-b0ac-593d1d220e3a, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,990 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ea26382-fb87-4463-9d0f-5092ec2ffec2, Nodes: 98d6c13e-cf20-4d68-9a9a-af1686bbdb82{ip: 32.145.250.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,990 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85c6cfbc-0007-429b-a64f-fbd42b4a4aec, Nodes: 41658532-ed82-4c52-b616-d4824d00500c{ip: 46.122.104.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da5cbaac-09a8-48ad-a355-b3a53f10e6cc, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89a55a61-242b-4c12-b075-fce97ba45c1a, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 39db3b0b-cca5-43f5-b1d9-aae84bc6bddc, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3f27ccb-602f-40bb-9c61-e6b89898e155, Nodes: 98d6c13e-cf20-4d68-9a9a-af1686bbdb82{ip: 32.145.250.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43263f82-b535-4f38-b151-a0d0ea812727, Nodes: 41658532-ed82-4c52-b616-d4824d00500c{ip: 46.122.104.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f92d47b8-5ad6-49bb-b8c0-de8143b2b619, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c4572ef2-280b-4c9a-95c7-6a9745edbb51, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba255631-15fa-4c14-93d2-12fdc7eed3d1, Nodes: d812ca02-2ed2-42d6-9fe7-f277c3e31d96{ip: 137.149.64.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,996 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2074905-d5e6-4b65-a145-5f95718a4688, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,998 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63af1590-3357-4edc-bc6b-4d3b62ac3ff3, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,999 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd58f7d7-8f3a-44ae-a21c-1380761be8ea, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
