2019-06-17 05:18:56,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 05:18:57,330 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0b5fa46-930a-4e64-b473-3be686cd2cf3, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,331 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ee40c04-c789-47de-9606-e60dce4e030b, Nodes: 2a45af83-4f55-46f5-b0da-033c3112867d{ip: 139.152.51.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,331 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e95d2ee8-cabc-446d-b765-aa0776f0ba08, Nodes: 0a3435c6-2885-4dc5-92af-e55a72902131{ip: 126.133.129.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,332 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31f5efe6-7757-4254-a66f-e1eb320d6817, Nodes: 929de23c-1c83-43ee-b1f4-068f803795b9{ip: 188.126.38.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,332 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ec60bcc-fcc9-4058-b7f1-02005a63f04e, Nodes: 929de23c-1c83-43ee-b1f4-068f803795b9{ip: 188.126.38.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,332 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b32a30b-7d34-490a-ab0b-b74878285a7e, Nodes: 929de23c-1c83-43ee-b1f4-068f803795b9{ip: 188.126.38.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,333 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 342a3b57-6a9b-4534-aa3f-8d5f45e68e74, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,333 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ce1223c-1f4b-45e6-ab2c-c1d5cc2f1a64, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,334 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 737c7ede-0ac8-4ad1-a1cb-459dae1315cc, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,334 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b97ecec-0781-45fa-8524-c53f408cc875, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,335 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f9ce313a-3086-43f3-97ef-ee6b8aa6e03a, Nodes: e5670c5c-e58e-467f-b5f9-d0258de32ada{ip: 113.223.82.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,335 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9770fcb1-1324-41f0-8144-0ad8aa91e876, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,337 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: af98046f-4815-4600-817d-7af6c249b8c3, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,338 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b6fbc1dd-bb5a-46ab-b90d-8f4cff4e5f8e, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
