2019-06-16 21:23:21,815 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:23:21,971 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 21:23:21,972 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:23:22,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd72391d-4e4f-4e62-a35a-58e2dc71fa13, Nodes: 6a724f5b-b6cb-4804-8349-f0233e07bd78{ip: 165.56.239.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,303 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0123832b-28ae-46e1-a710-49a778a90ca6, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da874001-5ee5-4369-ade8-9fc3cf4288bd, Nodes: 807d3eab-584f-46f7-90ad-42e3f6c4fc0a{ip: 152.86.27.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 073e5f73-a025-4ac9-bd18-022779186ce1, Nodes: d8cd6d09-c33e-4335-b211-b2c9f7922454{ip: 73.108.24.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9aee47d4-c6d7-4c5b-9d5a-5b1e6a6351ab, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,305 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c082ef1-2578-428f-a981-8d836d30a891, Nodes: 96b27fcf-f229-4181-b65f-7a1859245368{ip: 52.49.87.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,305 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 80b1d1c5-6b34-46f1-a352-7054a58866d3, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,306 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 86a8b44c-1cda-4b07-b79f-6edf5c230c3e, Nodes: 96b27fcf-f229-4181-b65f-7a1859245368{ip: 52.49.87.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 683bf1c1-49db-4aef-a93b-d6d8cd3ff619, Nodes: 807d3eab-584f-46f7-90ad-42e3f6c4fc0a{ip: 152.86.27.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89b87c90-8062-41be-9e63-7325740c3817, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,307 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33f1d553-1ab7-4764-af3c-d33ed954960c, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11d27761-d4f7-44cb-bafe-8eb6b1848d91, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,309 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd2b8188-112a-4277-87fa-5f128248e31f, Nodes: fd46bf75-3bf5-424e-83bc-da3e0464de6f{ip: 223.140.78.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,310 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0dbad411-1df0-415c-af86-445dc8e5d05c, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,311 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1de1f7b-dc1c-4e2a-b095-7e7deb34a763, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
