2019-06-16 20:12:04,631 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e4254fc-5d1d-4677-8b3d-8f2ab75d0582, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,631 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 910c5bc7-4216-41f8-aa36-1b1427fe95f0, Nodes: 7cd9597e-9e7f-4ef8-afa2-4b875129e465{ip: 140.212.47.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,632 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c56f5751-2af7-4611-930f-8b14277fe6a3, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,633 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e352066-78f7-4364-b4f4-6e80dff66a74, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,633 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d8f3bb5-22c9-495c-995e-d4ec82cc9f22, Nodes: 98676812-e41b-45b3-b1ea-fa1a04ee2652{ip: 177.105.236.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,634 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4aebe176-6558-4f78-8a1e-d2e61e41440d, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,635 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c540badd-07ac-41b3-933c-6c7d7b91e07d, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,635 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f10afb92-6cee-44ae-8ca3-6e36b05e6322, Nodes: 967afe4a-3d99-417a-af83-bd995193a864{ip: 184.109.18.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,636 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7774040-5572-4b38-b34c-76b75a58948c, Nodes: 967afe4a-3d99-417a-af83-bd995193a864{ip: 184.109.18.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e71174ca-5d2d-4529-a3bd-d6c1595eaa8e, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,643 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fce982b3-d62f-4c71-90a4-aef9b6645bb4, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
