2019-06-17 21:27:30,620 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ce4d97b-d110-4790-830e-99ec69c990d4, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,621 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 34979256-ab1d-4544-8ee8-4a061f1f40a8, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,621 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3530bf27-79dd-456f-9abe-f5b4e41a6e4d, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,622 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49f4e75f-d7c2-447c-bf5d-7d6a049c9edc, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,623 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 834ddcb6-4212-44b4-8b64-cebeae186fcb, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,624 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 69774bae-307c-4c85-a866-84f2483dc7e2, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,625 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c66d2ae3-79f2-44f5-b910-e3c3e14e1d07, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,625 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f84137e-f04b-4fb4-b3b4-65adc4c7f380, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,626 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb6511bd-172c-4674-ada8-9f4103e5e904, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,627 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0f4ab92c-a799-405b-8a05-e744ccfd35b3, Nodes: e4da881f-0597-4057-8416-83be5befe778{ip: 167.180.141.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f3f1bab-d3f1-4f46-a679-f1a686890187, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,630 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a11f8e4-1b08-4066-a9ef-6f6e1e7e826b, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,631 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8328174e-4eb4-488b-814c-a0c0157ab74d, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
