2019-06-17 01:32:55,906 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:32:56,400 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c8d9e34a-2e38-44af-b99f-0b16694e55ff, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,401 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e350945-f8ae-4916-aaba-a96c5b059e85, Nodes: d3b54f40-eff2-4093-a590-23df5710e569{ip: 34.165.41.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,401 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e1612ef0-0637-404f-bf01-50d92cabd757, Nodes: d3b54f40-eff2-4093-a590-23df5710e569{ip: 34.165.41.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,402 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cea443e9-91ec-42ff-acfb-9f771c32aa7e, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,402 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 50dc8f7a-8add-4baa-9b96-98eb56953372, Nodes: 9cb0c20d-3506-451e-89e2-80e62145210d{ip: 14.10.107.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,403 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58d84f0e-d608-4863-9469-4d2d9b87a7a1, Nodes: d3b54f40-eff2-4093-a590-23df5710e569{ip: 34.165.41.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,403 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c246e56-37b3-4248-aec6-ce35caf46acf, Nodes: f8d2dd55-d33a-4292-86d2-96ec547bcade{ip: 184.22.28.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,403 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f105644-f331-4277-9866-db9b7eaa7010, Nodes: 9cb0c20d-3506-451e-89e2-80e62145210d{ip: 14.10.107.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,404 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7befc260-69dd-44de-9b62-119ac2eaf568, Nodes: d3b54f40-eff2-4093-a590-23df5710e569{ip: 34.165.41.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,404 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dbcdf7b2-e35b-418e-a5f3-08f1029523d4, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,405 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ee214408-25b5-4366-83b0-05af86e67468, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,405 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b32c18a-a7dc-4330-940e-3b839bbccbb8, Nodes: b5326425-1b46-46ed-8c2c-25b5f6e50c09{ip: 175.243.144.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,406 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2dfaa1b3-58a9-4efd-b49a-785d9c1f45b6, Nodes: 9cb0c20d-3506-451e-89e2-80e62145210d{ip: 14.10.107.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,406 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b02683a6-f058-4cfd-a9b3-b6907976780e, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,407 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5acfa9b-6483-45b8-b16e-01903d57f771, Nodes: f8d2dd55-d33a-4292-86d2-96ec547bcade{ip: 184.22.28.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,407 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a76f7128-c24b-4e79-b8b3-fcff781d54b2, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,408 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 03dc24ea-6aba-4e69-a4ec-a619e4797bbc, Nodes: 35e7bbf5-7ec9-486e-bd4e-5ac1c9890602{ip: 30.101.103.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,408 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bff13a45-7aef-4511-a8e5-eb91731ed1b9, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 955d91f2-12b7-4930-a82e-e7679f4d397f, Nodes: 33b7efba-6535-4011-929a-a7c5512e9756{ip: 226.102.173.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,409 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f5c3caa-cc63-43f9-86c2-ee5edf39939d, Nodes: 33b7efba-6535-4011-929a-a7c5512e9756{ip: 226.102.173.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,410 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8cab0805-2a85-4914-8f73-2ba904a7ea44, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,410 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4fc35099-48ad-4d41-a8eb-fa292c211fc5, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,412 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb67719b-0e62-4a77-8ad3-366c3f9c7e58, Nodes: f8d2dd55-d33a-4292-86d2-96ec547bcade{ip: 184.22.28.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,413 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b72f3f9-7ff8-4ec3-96d3-7e5bec4d9132, Nodes: 33b7efba-6535-4011-929a-a7c5512e9756{ip: 226.102.173.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
