2019-06-17 22:12:53,850 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c409e02f-bf04-4ae4-9065-b59d365bffb6, Nodes: e327e674-187a-4fcd-9392-804127a12d87{ip: 251.196.184.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,851 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33a903c6-2bf2-4af2-96c8-7d3feacbc709, Nodes: fbeff6ea-5c07-4ee1-a1bd-dd312eb88c19{ip: 180.96.177.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,852 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 984c9877-91a9-4c3a-8477-a72f998e8cf2, Nodes: 36ad9f83-0258-453f-91e7-d6132abae71c{ip: 61.95.200.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,853 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 80b42a22-028c-4d60-901a-fda1376c3bc5, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,861 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbbbe5f3-7982-452c-9327-fc3736f1cdcf, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,862 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5606e13a-f571-4a78-9aa1-3c0b4be03b5e, Nodes: fbeff6ea-5c07-4ee1-a1bd-dd312eb88c19{ip: 180.96.177.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,862 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3682833-852f-4474-8ad9-2dec86852bd6, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,863 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 34c51721-5806-429c-a269-430d9b6fdb02, Nodes: c943b79f-fc19-49bd-a487-43edf5d8fa16{ip: 139.21.82.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,864 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b3176f9-e9f5-46c1-8d89-dcb038db67fb, Nodes: 36ad9f83-0258-453f-91e7-d6132abae71c{ip: 61.95.200.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,865 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a78726a0-66f1-40b2-ae74-538eaaf0a3dd, Nodes: 36ad9f83-0258-453f-91e7-d6132abae71c{ip: 61.95.200.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,866 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5eba17db-54f2-4374-abba-353230f0d8f3, Nodes: c943b79f-fc19-49bd-a487-43edf5d8fa16{ip: 139.21.82.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,867 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4d56f1f8-9b2d-4914-8acd-94c1e4719797, Nodes: c943b79f-fc19-49bd-a487-43edf5d8fa16{ip: 139.21.82.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,868 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a91e9752-3538-4997-be4e-f08012854af7, Nodes: 36ad9f83-0258-453f-91e7-d6132abae71c{ip: 61.95.200.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,869 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 867e3334-cc1e-4f40-93c3-f4c4203877bd, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,871 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e089d4e6-b4ab-4186-8289-ed98f7518f40, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,873 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38ef71aa-6ec1-4739-96c7-5a72d05f319b, Nodes: fbeff6ea-5c07-4ee1-a1bd-dd312eb88c19{ip: 180.96.177.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
