2019-06-18 05:37:27,751 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fab59238-e4ba-414a-be78-074fbe7140ca, Nodes: e07ba243-c1ad-42f0-b92b-67db1de05c96{ip: 94.12.203.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,752 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 97fd1558-b346-44fe-9df1-d48c0ab00952, Nodes: 62c78751-72d7-4435-ac58-6e0cf140a98d{ip: 196.20.245.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,752 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 128bd31d-e776-41ec-b5da-29b973feb01b, Nodes: 95d0f369-f30e-4fa8-8f54-a54de97e2d49{ip: 18.4.243.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,753 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b8afdec-821b-49b2-acbb-4f396d2c4409, Nodes: 1a4d4ab2-f171-4272-b431-f6162357ad4c{ip: 43.219.200.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,754 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba6c50e5-73ac-424a-8051-5c1f1c1dbd9e, Nodes: 237c79f0-6937-409e-ac7f-f4ceff1f03f2{ip: 61.60.94.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,754 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 94446f24-33c7-4f84-9e35-802186a9e5fc, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,755 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9301484e-61c8-442b-9aea-001a37340118, Nodes: 1a4d4ab2-f171-4272-b431-f6162357ad4c{ip: 43.219.200.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,756 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 40b5c085-bd3a-4961-b167-a1fde5995097, Nodes: 1a4d4ab2-f171-4272-b431-f6162357ad4c{ip: 43.219.200.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,757 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5079d028-3dcb-4f2b-8c1d-73bd39867876, Nodes: 1a4d4ab2-f171-4272-b431-f6162357ad4c{ip: 43.219.200.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,759 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b5900be6-4a60-4a46-99a3-03b59fdb8fc7, Nodes: 309d4a7e-69d5-4a5e-8c82-054858aaed46{ip: 191.116.19.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
