2019-06-17 19:33:29,614 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b5fde22c-f09e-4d06-b3b5-c414c20edd98, Nodes: 0bbc27b4-d25a-4a2e-b3c7-534ba9492f37{ip: 108.68.235.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,615 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3affd21-9021-42bf-92f4-ae063da1b8ed, Nodes: e95e25a4-4a4e-4b71-9677-4859f17fa06d{ip: 180.68.2.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 97623f81-eebb-4ed0-a31e-9abafbdc4fc5, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa711355-1305-45f6-81ca-80fe1b727c9f, Nodes: e012eb82-7538-4fa1-a68c-387ef280060b{ip: 86.233.197.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,617 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02830cd6-fa93-44d3-a9aa-57bf5cbd3c90, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: def1dcc3-cf98-4297-9bb7-fe8ad98c90da, Nodes: aafb5960-4c0b-4026-8844-1af8d74743c3{ip: 18.118.130.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,619 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66957c79-75f8-4923-91c8-49b26d972918, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,619 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 633971f8-22e3-41b5-822b-6526a12b5812, Nodes: b4fc4ff1-a265-446a-a366-f92d9073f655{ip: 149.135.84.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,620 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6cccd736-38cd-4c3a-9b57-6ede8b23cef6, Nodes: e012eb82-7538-4fa1-a68c-387ef280060b{ip: 86.233.197.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,622 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 327697d1-e9dc-4c84-8b0d-2be00715f504, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,623 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82768c75-9945-4f86-9498-aaabcd734fd9, Nodes: 78316442-bce7-40a2-8358-a3b99c811ce9{ip: 182.74.24.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
