2019-06-17 07:19:48,760 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ee87ad05-cd19-46d1-93a4-6ccb145e8059, Nodes: 80f6b7e3-bc80-49ee-a837-f05b01bc10f3{ip: 99.235.77.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,761 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3533c48-5028-413c-84bd-bb68f682ce5c, Nodes: 1a54014b-652b-4c89-9e62-27c57d12ca04{ip: 46.52.206.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,761 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 818f344a-3570-41f9-b143-770355d90adc, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,761 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a866abc-c37e-4ca1-9407-9a98c0898772, Nodes: 80f6b7e3-bc80-49ee-a837-f05b01bc10f3{ip: 99.235.77.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,762 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a62b0cc1-295b-4201-bf0a-01f558b517e8, Nodes: d3280da4-59b4-4e1c-bf98-48d50427c410{ip: 212.121.130.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,763 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7cf2e76a-e550-47bd-9f0c-66bac680b162, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,763 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 421e18e0-c94e-44d8-be52-671cc29bc35c, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,764 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 90789c4e-2b96-42db-b00d-85e05525513d, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,764 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a76ce60-7de2-40d7-9766-a11387e1d2cb, Nodes: 1a54014b-652b-4c89-9e62-27c57d12ca04{ip: 46.52.206.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,765 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d8ceb46a-32e0-4c98-9354-4a923ed92027, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,765 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c0054ad-fec9-46d8-8b61-29b027ec351a, Nodes: 826aef48-e34b-4e99-be7f-b2a5dd956fa7{ip: 176.201.68.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,766 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79a3eef9-3adf-4675-b557-ba5f0a0b78d6, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,766 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b372b374-ca6c-42fd-a696-1b3050161ffc, Nodes: 80f6b7e3-bc80-49ee-a837-f05b01bc10f3{ip: 99.235.77.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,767 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 851cc03e-0ac6-43f8-9c85-f1a291870c8b, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,767 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b92d6b7-b3dc-422e-bbca-4e1ed1120057, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,768 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a2dde55-1747-4fd9-ad93-ae999610da1f, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,768 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3262f802-fd9b-47b0-aaa7-92d6a79a1c72, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,770 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4091148b-7a35-4689-b187-f2cf8d6e72b8, Nodes: d3280da4-59b4-4e1c-bf98-48d50427c410{ip: 212.121.130.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,771 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a9eb2b1-e854-4f37-89f8-45087880925c, Nodes: c1bf1494-d8b7-404c-b380-fd1176d767c7{ip: 178.80.70.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
