2019-06-17 03:24:01,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ef48717-57a1-4801-b8ae-5fe50d268fbe, Nodes: 7d85df60-fe20-40a5-80b6-5a3abce1209e{ip: 151.213.125.150, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05064a17-ba5d-44f1-b2b0-0e41cd235c56, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1269b920-6ac0-45ed-b92c-1fbec637b9fb, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63e5f719-16b4-45c8-8161-9ec2995c482b, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 65e45b7b-f4b0-40c5-b77d-0471316425ae, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43cbbf2d-eef4-49fa-8c62-6787ed3c2ee2, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06507ee1-eccf-4751-a0a1-51ac20fcd326, Nodes: 6b2d9eb8-3471-4657-bc4f-06633dca955f{ip: 95.64.77.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ca1c9d5-6e87-4d0e-8bec-87444113c6a6, Nodes: d174db46-dcd9-4a3a-8bcf-0405ce64e236{ip: 103.73.138.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 094bd8cb-a283-49c5-bf1d-fe17bf0e6c0b, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0066994a-9621-449f-abf9-1dff64c7bdc8, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b38d9ae-a325-4750-8994-8e6c01bf84e8, Nodes: d174db46-dcd9-4a3a-8bcf-0405ce64e236{ip: 103.73.138.152, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 162772d9-3d24-4545-844f-4e5ce51145a6, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,798 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7d13958-d172-4d5d-95d9-963ece9e2476, Nodes: 6b2d9eb8-3471-4657-bc4f-06633dca955f{ip: 95.64.77.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f9972a5-ec27-46d3-8107-ae47371c4670, Nodes: b6f9e47c-2c76-4958-8f1f-adde8bee8f2b{ip: 74.49.40.27, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,800 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 961da54c-15e0-4ebd-ad2d-b3078f09be87, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,802 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e480056c-e0bd-4354-b005-74b7996c06f8, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
