2019-06-17 22:25:28,481 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:28,686 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 22:25:28,687 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:29,058 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a242ebb9-6f91-4419-9e67-dd072ffe5b98, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,059 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b13f03a6-b63c-4944-9e5b-e3e06947c549, Nodes: 63469ff6-43f3-45f6-a87a-6e7e5c1426c2{ip: 36.38.107.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,059 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d1fc58f4-7ba2-4167-ab99-2f87be28c830, Nodes: 6d0591ef-364a-421d-a577-87dca9872648{ip: 116.6.231.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,060 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b759315-9857-4062-ace6-ad679f746607, Nodes: 6d0591ef-364a-421d-a577-87dca9872648{ip: 116.6.231.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,061 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b6c3f107-94a5-4951-98c8-92c9e2300e9a, Nodes: 2db82b43-fba7-45fa-93cf-033aa5f67031{ip: 143.157.95.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,062 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0a03bcf-0006-426e-a1b4-e31b76251776, Nodes: fd15e835-9012-439a-beb6-ee6ddb82dfa6{ip: 20.65.84.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,062 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1da85452-80c0-4fae-b395-4eb40ec8f8c5, Nodes: 6d0591ef-364a-421d-a577-87dca9872648{ip: 116.6.231.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,063 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 926c3682-96ff-427d-8de1-990649dce9c2, Nodes: 63469ff6-43f3-45f6-a87a-6e7e5c1426c2{ip: 36.38.107.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,064 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fd76a5aa-d358-444c-b722-bd69b33f666e, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,065 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9a157817-5963-424e-b660-54d9ddcb88b7, Nodes: 2db82b43-fba7-45fa-93cf-033aa5f67031{ip: 143.157.95.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,065 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15084728-48de-43f4-b7e1-7546040eb9a1, Nodes: 2db82b43-fba7-45fa-93cf-033aa5f67031{ip: 143.157.95.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,066 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22e34cc4-268b-452c-83aa-23a2f6d94c4f, Nodes: 059744f7-407e-44e8-9245-c768bf95783b{ip: 68.170.158.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,067 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8c86b9a-ce06-40ce-9f1c-5c10ba2ea269, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,067 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fda506ac-11ab-4294-80b7-4f1fec205fa1, Nodes: 63469ff6-43f3-45f6-a87a-6e7e5c1426c2{ip: 36.38.107.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,069 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0ea466cd-b1e1-4f90-9d6b-9259278c60a8, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,070 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fed8a4d4-d1ae-4955-9868-8a46bf8ad16e, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
