2019-06-17 03:10:18,662 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 03:10:18,874 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 03:10:18,875 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 03:10:19,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c81747b2-d13a-4b11-a8d6-83619d7952be, Nodes: 139bbcf6-b58e-41a4-8033-53553676562e{ip: 98.56.36.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,316 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 306ac08a-cd91-4ace-b1e1-750371822784, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82f89564-2a42-4533-860a-b6eda06f82dc, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 81b9fa2e-29ce-45be-878c-efd9f2c477f4, Nodes: 57072e41-fc52-4b6e-9399-fc7771f6a64a{ip: 76.186.163.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 819a63e3-7671-4ed9-9f39-e58499433335, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 869db899-eb4e-4065-9e05-c4b23efcb251, Nodes: 139bbcf6-b58e-41a4-8033-53553676562e{ip: 98.56.36.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,319 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 26e7a454-72d1-4af1-a32c-e5a050cdacd1, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,320 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c33e9e93-f2fc-4533-871b-e4ef56074072, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,320 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b18f680f-7f9c-4ead-95a6-8c52a8350253, Nodes: 139bbcf6-b58e-41a4-8033-53553676562e{ip: 98.56.36.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,321 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9d11d282-2ad1-4282-b7f9-1b5b0c9a4487, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,321 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88d272ac-524b-4860-bd24-b275c2ffa5f4, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,322 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 75b2eab7-303a-4e60-92ab-1b16b13b6494, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,323 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d346ec01-0df5-4e25-8f9e-56dc2c57a4c9, Nodes: 3972bf39-b529-43e6-b87b-9376515c7350{ip: 200.209.40.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,323 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be9775ad-5cf9-4db1-ae57-a06c9f474b05, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,324 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bc5a1166-b487-42dd-a95b-d4f9291bba55, Nodes: 92d82115-e072-463b-b0b3-c553265635ac{ip: 20.193.60.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,325 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98d88172-ec82-412f-96c6-ee4c09015075, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,325 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 03f315fe-002a-413d-9aad-2bfe0f3d0486, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,326 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6175ecca-4d37-4123-91fd-9da44b171f36, Nodes: 00eaefb5-4964-4ee5-969f-2b4df92e75f6{ip: 156.188.125.33, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,327 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e315ec9e-94c3-4a29-b7d6-42206612ce14, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,327 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c046f729-e63c-46e5-95c2-9f7099ce511a, Nodes: 0856def0-eb87-4d32-a265-eda03d79724d{ip: 168.167.149.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,328 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2aca278e-a7b2-4989-95ed-19a0b64c9bae, Nodes: f58c95ea-c6ef-4ddc-80e6-2e29d4ad8271{ip: 185.60.45.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,329 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5f8c8cf-1302-40eb-8d51-43d4728209e8, Nodes: 57072e41-fc52-4b6e-9399-fc7771f6a64a{ip: 76.186.163.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,331 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5825ad18-8811-4e1a-8903-f642a629ef41, Nodes: 57072e41-fc52-4b6e-9399-fc7771f6a64a{ip: 76.186.163.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:10:19,332 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a276d39-6f57-44dd-9815-7244e5aa7a26, Nodes: 50be713f-77ae-4e43-b3d5-304ae15916af{ip: 153.223.69.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
