2019-06-18 15:57:01,818 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d327692-e928-4c76-9c33-b09d6459800e, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,819 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9207d3d-880f-4d2c-ae3e-fd30456dc933, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,819 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29a06ba8-e7fe-4b37-a4a8-f003059de3c0, Nodes: f5aa4026-454d-42f9-8572-87a7537f76d7{ip: 151.193.241.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d677c1f0-6c38-41b7-a358-790026647371, Nodes: 509e4221-de95-4b87-9254-d62ecd51be71{ip: 252.6.172.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,821 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4fd14dd8-8f87-4007-937e-b2cf632033c6, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,821 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e7d9f3cb-11be-41f0-8ea5-aeb177f46c68, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,822 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e932a8ca-1704-4f2b-8e2c-c90a13ee9259, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,822 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8529f8a8-b056-40f4-8c2e-ec80266bf3c3, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,823 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f92efbe4-1ae4-4d9b-bab6-a986b4a21adc, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,824 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ccffbfd8-906f-4ebf-b5f8-104c0366a8d3, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,824 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0803d283-8bb4-44e0-bd25-f4111eb724a6, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,825 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 198d4668-4088-408e-9731-d476901afaed, Nodes: 509e4221-de95-4b87-9254-d62ecd51be71{ip: 252.6.172.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,826 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b532cab8-3610-413d-9dab-dde3f2fb2473, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
