2019-06-15 11:22:06,560 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:06,721 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 11:22:06,721 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:07,043 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6483b5a6-b119-46fc-807e-fe15501b5b67, Nodes: 0373392e-1e22-4212-aa0e-74c6096f39a7{ip: 28.201.229.15, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,043 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9e2585f-92d8-4a2c-9272-6e84ca1f8449, Nodes: 4f815b5f-914e-40a9-97da-4d5c326c33f9{ip: 25.255.186.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,044 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 14e8f2ef-d13e-44a4-8b45-06c5ba120f7e, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,045 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58cc277f-5023-482a-b324-1e96406d729b, Nodes: 3464a350-20fc-461f-b125-48e71ebf2faf{ip: 20.85.130.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,045 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 700fd8cd-4d04-438e-abfa-a749d5343f16, Nodes: 5da127c5-b0e7-4d1e-ad2f-5f528745cd4e{ip: 155.118.34.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,046 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f135029b-1c51-4e7e-89dc-10be65a8718e, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,046 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2717a1fe-eae9-4e47-8c19-12e8b8d4d773, Nodes: 4a95e09e-ad32-449a-b811-185e539862f0{ip: 104.134.104.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,047 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a4c5986-21a1-458c-bf2e-02eec95831bc, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,048 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 81b7f06c-f55a-4f36-98bb-9281cfde8efb, Nodes: 37c2a347-4a17-4af1-a439-4e2e30e1d958{ip: 149.41.50.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,048 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10006771-c927-4124-8377-5cb941eab3f4, Nodes: 3464a350-20fc-461f-b125-48e71ebf2faf{ip: 20.85.130.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
