2019-06-17 23:21:38,897 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 23:21:39,470 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b332313b-6a9b-41f7-8a18-e694a7817bb0, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: baab9dc2-ceb7-43de-be68-7dbc7c486c5b, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e3b3658e-b8cd-40b1-b924-feabee6b6c91, Nodes: 49a8e7a8-3a6d-4adb-bb58-7bd8d2f680b4{ip: 26.248.2.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,472 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83d905a4-8535-4714-bbd2-1b3424a1ed7f, Nodes: 7e25dbb2-e518-4df4-ae2f-1a0da15e69e3{ip: 120.54.252.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,472 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f629765e-4763-4ccb-bc47-6ea0744c38aa, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,473 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d443869-0beb-4897-a6b1-09b6a41d0c9f, Nodes: afb41310-9cb4-41cb-bdaf-ec1d6ac05e2b{ip: 33.138.77.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,473 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d7c1213-8c4f-4b08-b92b-2b4d1bd5de1a, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,474 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd73ae67-1e37-4d0c-aaf8-bd540db5c501, Nodes: 49a8e7a8-3a6d-4adb-bb58-7bd8d2f680b4{ip: 26.248.2.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,474 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ccf99f97-d6e9-4f68-bbe4-4eb4ac806fb9, Nodes: 25572972-a584-40b8-bc25-dbf543274fef{ip: 245.149.64.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,475 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7e61467-11e1-4974-a28b-4da4b201291c, Nodes: 7e25dbb2-e518-4df4-ae2f-1a0da15e69e3{ip: 120.54.252.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
