2019-06-16 20:40:12,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ee256d4c-5393-44a0-9808-7285b23a7632, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f3bcdbe-83b5-4696-b0b1-21143bdf01e9, Nodes: bdd5c3ec-b617-46f5-a07e-a25252a0b0dc{ip: 194.228.95.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,673 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 571838c4-1b17-4e14-8bfa-f3b28032a624, Nodes: bdd5c3ec-b617-46f5-a07e-a25252a0b0dc{ip: 194.228.95.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 400c51a9-0ebb-4d12-9acc-b7e0d2975084, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77b6be4f-de41-4b1a-8cac-f24c5ad2aaf3, Nodes: bdd5c3ec-b617-46f5-a07e-a25252a0b0dc{ip: 194.228.95.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e9772c52-4173-4bab-a186-3f3249593e47, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74cd46cb-b173-4ca1-9fb9-7c6f5309846a, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,676 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 41ad4db3-236f-42b7-9ceb-4d415108bea9, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,677 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f941b1bf-0b4e-4e55-bb85-814a1af3a5d4, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,677 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eeff8a1c-3221-400a-951c-61c6b38dd014, Nodes: de0b6018-945a-42bc-a9a3-dbd595c08bb6{ip: 227.187.31.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,678 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e967d243-8a57-46be-be98-41580f6c815e, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,679 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 97654002-d6c6-401c-88ca-0b413f8c1a32, Nodes: de0b6018-945a-42bc-a9a3-dbd595c08bb6{ip: 227.187.31.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,679 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e2c5dac-aa5d-44a4-9e5e-4b5b9d6c4a66, Nodes: bdd5c3ec-b617-46f5-a07e-a25252a0b0dc{ip: 194.228.95.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b87ae1e-f439-4032-82ae-1f900d0b8d47, Nodes: 3f2bbe16-b47f-4101-a2e0-be372642f233{ip: 72.236.138.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4992a7b-981e-484d-a301-25d3a3c34a7e, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,681 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63f69de0-37b1-421a-8327-fe92e79139ab, Nodes: 8d9a6367-96b3-4ebc-9d5c-64a63f690c6c{ip: 38.82.245.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,681 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c43ca82-3840-4bbd-9802-43ba860c874a, Nodes: 147ce3aa-cd2a-4579-afb3-5d1a1825a7f3{ip: 48.94.148.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,682 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8997d7e0-d4c7-46ea-b64f-b206cdbe048f, Nodes: 1c58ff4c-5c5e-4906-abca-779776eec708{ip: 72.221.184.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,684 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00a4d7a4-51dd-4e52-b9dd-690049a86c1f, Nodes: cee698af-f5c5-418c-a4e7-8a6445e78813{ip: 251.172.180.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:40:12,685 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fec6cbfb-428a-440f-b802-5a22c6cb3462, Nodes: b519d7ea-69fd-4dad-9f48-2f29f6704fa9{ip: 67.31.80.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
