2019-06-17 12:43:39,821 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:43:40,421 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc3219f6-ed45-415d-9d37-fcfaaaeecc59, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,421 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 48b34542-f61a-4ecd-afa5-190024548fb2, Nodes: 3fb7cba0-e11b-4ffb-bf7d-8cdb356acf65{ip: 228.36.207.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,422 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb106b23-df61-4d00-b351-a2964f7148c7, Nodes: 5eaf6b53-007a-4f31-8120-5022767d9777{ip: 202.105.117.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,423 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 887c7565-d5bd-4b80-98b4-475f0bc7af41, Nodes: 5dbbe3af-6746-4ce4-ab65-1faebecf0176{ip: 252.9.100.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,423 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 67f7a100-5d80-4d93-b624-7a3baa8e2911, Nodes: 3fb7cba0-e11b-4ffb-bf7d-8cdb356acf65{ip: 228.36.207.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,424 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78fc7a57-2463-402a-a7a6-d03b370f3ce5, Nodes: 44ddbece-55fa-4f09-b6f5-5566d7764b6b{ip: 102.228.232.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,425 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49f6b3b5-c959-4953-8a6c-8c65083ffeb9, Nodes: 6b35cac4-6a92-40d6-b832-4128f07e8903{ip: 141.166.201.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,425 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: afd6c4df-4e86-4543-8e05-ca5bd43d9cd8, Nodes: e2fa6ec7-9ade-450a-a526-8b85d6fe4e69{ip: 107.182.27.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,426 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd1736e8-e0c3-416f-b16b-757daad1c253, Nodes: 44ddbece-55fa-4f09-b6f5-5566d7764b6b{ip: 102.228.232.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,427 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 514a5397-0476-4401-baa0-09cf1c817e04, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,428 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02f4256e-f685-4f84-948a-75fe84aacea0, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:43:40,429 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9df6375d-e9c6-4a23-9d23-0541aec4fb3f, Nodes: e1371ea0-f2a6-41e3-ac9b-f7aeab3673d6{ip: 149.199.24.214, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
