2019-06-15 07:05:01,421 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:01,657 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 07:05:01,658 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 07:05:02,060 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce8527a6-5484-40ef-8f57-f5ad53f75e3d, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,060 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35f6fc92-ed5e-4864-b129-464d585977ee, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,061 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cf7232b2-97e9-4c59-ab9f-5e72bb888a0c, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,062 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e43cfaa2-5b10-43aa-b2c0-00a1d8f2bd17, Nodes: 4139f9f4-d6a1-4a12-9bd5-f19fe1ed0515{ip: 73.229.255.226, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,062 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 13073e52-50db-468c-9b8f-a88f98b3a3ef, Nodes: 54d568ba-213b-42c3-83c5-57deff87aabe{ip: 65.174.148.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,063 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9863826c-ec13-4cff-8c7e-5400103ef35f, Nodes: a5588d01-4dc6-4bdb-8433-3536e9785d1c{ip: 72.22.89.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,069 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad150450-e4b6-49a9-b606-53c457937691, Nodes: ffe4c332-56c8-4320-86fe-e4b1765cc358{ip: 235.167.213.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,070 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a939373-162c-453e-9a0a-aaaecb336b32, Nodes: ffe4c332-56c8-4320-86fe-e4b1765cc358{ip: 235.167.213.5, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,072 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3d4a096-4776-4057-8302-2fb4d0fa4fa8, Nodes: c1789e35-8613-4f44-a9dc-b024fd0a1acb{ip: 49.181.62.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 07:05:02,073 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9b65d709-7218-4a45-9637-e9dc172145fc, Nodes: c1789e35-8613-4f44-a9dc-b024fd0a1acb{ip: 49.181.62.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
